method,split,seed,mean_success,ci95_success,mean_goal_validity_f1,ci95_goal_validity_f1,mean_retarget_precision,ci95_retarget_precision,mean_stale_goal_pursuit,ci95_stale_goal_pursuit,mean_unsafe_reach,ci95_unsafe_reach,mean_false_abandonment,ci95_false_abandonment,mean_reappearance_recovery,ci95_reappearance_recovery,mean_substitute_goal_success,ci95_substitute_goal_success,mean_belief_update_latency,ci95_belief_update_latency,mean_intervention_cost,ci95_intervention_cost,mean_regret_to_oracle,ci95_regret_to_oracle,groups
goal_retargeting_heuristic,physical_removal_shift,2,0.5585,0.0257,0.3814,0.0043,0.4551,0.0044,0.1197,0.0159,0.0704,0.0077,0.0908,0.0135,0.2973,0.0154,0.3966,0.0217,0.7523,0.0199,0.2198,0.0029,0.2575,0.0264,35
goal_retargeting_heuristic,physical_removal_shift,3,0.548,0.0212,0.3838,0.0056,0.4564,0.0044,0.1129,0.0144,0.066,0.0104,0.0963,0.018,0.2973,0.0149,0.3813,0.0169,0.7589,0.0205,0.2178,0.0033,0.2643,0.024,35
goal_retargeting_heuristic,physical_removal_shift,4,0.5531,0.0249,0.3852,0.0041,0.4563,0.0043,0.1156,0.0159,0.0694,0.0115,0.0942,0.0124,0.3041,0.0154,0.3884,0.0178,0.76,0.0214,0.2183,0.0023,0.2602,0.0282,35
goal_retargeting_heuristic,physical_removal_shift,5,0.5605,0.0259,0.3845,0.0044,0.4543,0.0049,0.1099,0.0167,0.0595,0.0111,0.0949,0.0108,0.2905,0.0152,0.367,0.0132,0.7586,0.0207,0.218,0.0024,0.2497,0.0254,35
goal_retargeting_heuristic,physical_removal_shift,6,0.566,0.0189,0.384,0.0047,0.4589,0.0036,0.1228,0.0177,0.066,0.0113,0.1054,0.0122,0.2898,0.0186,0.3731,0.0191,0.7537,0.0216,0.2187,0.0027,0.2452,0.0239,35
last_seen_goal_pursuit,combined_disappearance_stress,0,0.3316,0.0296,0.1448,0.0052,0.135,0.0044,0.2531,0.0269,0.1293,0.0158,0.1446,0.0209,0.0667,0.0092,0.0966,0.0112,1.0319,0.0218,0.139,0.0028,0.4537,0.0291,35
last_seen_goal_pursuit,combined_disappearance_stress,1,0.3333,0.0317,0.1402,0.0054,0.136,0.0052,0.2439,0.0258,0.1286,0.0195,0.1483,0.019,0.0707,0.0108,0.0993,0.0101,1.0288,0.0231,0.1417,0.0033,0.4663,0.0296,35
last_seen_goal_pursuit,combined_disappearance_stress,2,0.3231,0.0357,0.1423,0.0057,0.1319,0.0043,0.2456,0.0218,0.1228,0.0164,0.166,0.0201,0.0694,0.0079,0.0993,0.0105,1.0289,0.0198,0.142,0.0026,0.4867,0.0332,35
last_seen_goal_pursuit,combined_disappearance_stress,3,0.3296,0.0314,0.1441,0.0048,0.1337,0.0054,0.2469,0.0255,0.1289,0.0163,0.1554,0.0212,0.0656,0.0087,0.1031,0.0133,1.0263,0.0219,0.14,0.003,0.4755,0.0339,35
last_seen_goal_pursuit,combined_disappearance_stress,4,0.335,0.0346,0.1428,0.0038,0.1365,0.0039,0.2531,0.0247,0.1112,0.0122,0.1626,0.0222,0.0782,0.0103,0.098,0.012,1.0282,0.0223,0.1413,0.003,0.4697,0.0378,35
last_seen_goal_pursuit,combined_disappearance_stress,5,0.3085,0.0295,0.1393,0.0046,0.136,0.0044,0.2452,0.0239,0.1262,0.0168,0.1541,0.0239,0.0738,0.0109,0.0952,0.0106,1.031,0.0215,0.1388,0.0029,0.5051,0.0283,35
last_seen_goal_pursuit,combined_disappearance_stress,6,0.3282,0.0281,0.1385,0.0042,0.1308,0.0046,0.2585,0.0268,0.1218,0.0155,0.151,0.0223,0.0633,0.008,0.1,0.014,1.0294,0.0237,0.1419,0.0032,0.4762,0.0269,35
last_seen_goal_pursuit,delayed_reappearance,0,0.3745,0.0254,0.1761,0.0048,0.1578,0.0048,0.233,0.0187,0.1143,0.0135,0.1476,0.0227,0.0673,0.0084,0.1422,0.0112,1.0044,0.0172,0.1415,0.0032,0.4357,0.0255,35
last_seen_goal_pursuit,delayed_reappearance,1,0.3694,0.0264,0.1763,0.0047,0.157,0.0049,0.234,0.0232,0.1109,0.0141,0.1442,0.022,0.0721,0.0096,0.1235,0.0125,1.0093,0.0176,0.1415,0.0032,0.4415,0.0287,35
last_seen_goal_pursuit,delayed_reappearance,2,0.3748,0.0257,0.1728,0.0053,0.1572,0.0045,0.2357,0.024,0.1119,0.0139,0.152,0.02,0.0633,0.0094,0.1327,0.0159,1.0058,0.0164,0.1396,0.0034,0.431,0.0302,35
last_seen_goal_pursuit,delayed_reappearance,3,0.3799,0.0286,0.1764,0.0045,0.1574,0.0042,0.2088,0.0206,0.1133,0.0161,0.1561,0.0199,0.0673,0.0118,0.1361,0.0121,1.0077,0.0173,0.1395,0.0032,0.4303,0.0324,35
last_seen_goal_pursuit,delayed_reappearance,4,0.383,0.0304,0.1727,0.0041,0.1602,0.0036,0.2357,0.0175,0.1058,0.0147,0.15,0.0179,0.0711,0.01,0.1364,0.0127,1.0052,0.0179,0.1418,0.0028,0.4299,0.0268,35
last_seen_goal_pursuit,delayed_reappearance,5,0.3629,0.0232,0.1736,0.0043,0.1585,0.0053,0.2391,0.0244,0.1167,0.0142,0.1395,0.0201,0.0633,0.0085,0.1391,0.013,1.0093,0.0175,0.1429,0.0026,0.4456,0.0236,35
last_seen_goal_pursuit,delayed_reappearance,6,0.3711,0.028,0.1737,0.0048,0.1558,0.0042,0.2347,0.0204,0.1129,0.0126,0.1425,0.0238,0.0673,0.0084,0.1361,0.0145,1.0095,0.0186,0.1403,0.0026,0.4384,0.0339,35
last_seen_goal_pursuit,nominal,0,0.4585,0.0273,0.2277,0.004,0.2055,0.004,0.1463,0.0157,0.0888,0.0108,0.1078,0.0149,0.1816,0.0141,0.1486,0.0154,0.8301,0.0123,0.1371,0.0029,0.368,0.0303,35
last_seen_goal_pursuit,nominal,1,0.4728,0.023,0.23,0.0053,0.2042,0.0052,0.1289,0.0172,0.0844,0.0117,0.1003,0.0157,0.168,0.0151,0.1493,0.0133,0.8281,0.0116,0.1371,0.003,0.3497,0.0257,35
last_seen_goal_pursuit,nominal,2,0.4544,0.021,0.2288,0.0046,0.2029,0.0052,0.1378,0.0195,0.083,0.0139,0.1112,0.0165,0.1789,0.0146,0.1575,0.0155,0.835,0.011,0.1395,0.0038,0.3837,0.0215,35
last_seen_goal_pursuit,nominal,3,0.465,0.0253,0.2288,0.0037,0.2025,0.0049,0.15,0.0165,0.0857,0.011,0.1068,0.0158,0.1779,0.017,0.1684,0.0146,0.8343,0.0124,0.1366,0.0028,0.3616,0.0292,35
last_seen_goal_pursuit,nominal,4,0.4622,0.0235,0.2276,0.0042,0.2014,0.0044,0.1354,0.0162,0.0755,0.0096,0.1075,0.0166,0.1769,0.0149,0.1592,0.012,0.8336,0.0133,0.1368,0.0028,0.369,0.0288,35
last_seen_goal_pursuit,nominal,5,0.4476,0.0253,0.2306,0.0042,0.2017,0.0047,0.1456,0.0164,0.0799,0.0129,0.1116,0.0149,0.1694,0.0178,0.166,0.0142,0.8318,0.0129,0.1391,0.0026,0.3847,0.0302,35
last_seen_goal_pursuit,nominal,6,0.4595,0.02,0.2295,0.0048,0.2009,0.0046,0.1354,0.0144,0.0925,0.0137,0.0888,0.0153,0.1748,0.0162,0.1497,0.0116,0.8292,0.0135,0.1401,0.0029,0.3707,0.0224,35
last_seen_goal_pursuit,occlusion_heavy_shift,0,0.3922,0.0209,0.174,0.005,0.1856,0.005,0.1735,0.0174,0.1048,0.0132,0.1384,0.0194,0.116,0.0132,0.1425,0.0132,0.9263,0.0179,0.1399,0.0025,0.4313,0.0213,35
last_seen_goal_pursuit,occlusion_heavy_shift,1,0.3949,0.029,0.1694,0.0044,0.189,0.0055,0.1735,0.0177,0.1031,0.0124,0.1327,0.0179,0.1139,0.0125,0.152,0.0157,0.928,0.0198,0.1417,0.0032,0.4218,0.0326,35
last_seen_goal_pursuit,occlusion_heavy_shift,2,0.3986,0.0265,0.1702,0.0048,0.1898,0.0046,0.1786,0.0191,0.0969,0.0131,0.1371,0.018,0.1231,0.0105,0.1483,0.0122,0.9199,0.0176,0.1388,0.0025,0.4112,0.0301,35
last_seen_goal_pursuit,occlusion_heavy_shift,3,0.4116,0.0241,0.178,0.0045,0.1875,0.005,0.1803,0.0219,0.101,0.0136,0.1316,0.019,0.1221,0.0128,0.1568,0.0129,0.92,0.018,0.1387,0.0034,0.4095,0.0282,35
last_seen_goal_pursuit,occlusion_heavy_shift,4,0.4139,0.0305,0.1726,0.0051,0.1887,0.0036,0.1711,0.0186,0.1071,0.013,0.1361,0.0193,0.1238,0.0137,0.1483,0.0146,0.9219,0.018,0.1417,0.0035,0.4017,0.0329,35
last_seen_goal_pursuit,occlusion_heavy_shift,5,0.3976,0.027,0.1702,0.0044,0.1891,0.0047,0.1745,0.0224,0.0969,0.0136,0.1201,0.0152,0.1136,0.0108,0.1354,0.013,0.918,0.0183,0.1433,0.0025,0.4265,0.0306,35
last_seen_goal_pursuit,occlusion_heavy_shift,6,0.4085,0.0222,0.1697,0.0049,0.1913,0.0044,0.181,0.0196,0.0922,0.012,0.1378,0.0179,0.1194,0.011,0.1361,0.0116,0.9186,0.0159,0.1419,0.003,0.4194,0.0223,35
last_seen_goal_pursuit,physical_removal_shift,0,0.3789,0.0296,0.1737,0.0047,0.1727,0.0047,0.199,0.0219,0.1119,0.0118,0.118,0.0153,0.1456,0.0138,0.1207,0.0161,0.9328,0.0193,0.1392,0.0027,0.4238,0.0309,35
last_seen_goal_pursuit,physical_removal_shift,1,0.3752,0.0304,0.1701,0.0044,0.1715,0.0051,0.1874,0.0252,0.1133,0.017,0.1112,0.0142,0.1442,0.0126,0.1133,0.0092,0.937,0.0202,0.1396,0.003,0.4446,0.0332,35
last_seen_goal_pursuit,physical_removal_shift,2,0.4071,0.0304,0.1707,0.0047,0.1693,0.0049,0.2099,0.0223,0.1167,0.0147,0.1204,0.0141,0.1473,0.0123,0.1129,0.0136,0.9305,0.0203,0.1403,0.0028,0.4088,0.0284,35
last_seen_goal_pursuit,physical_removal_shift,3,0.3721,0.027,0.1736,0.0045,0.1715,0.0041,0.1922,0.0219,0.1129,0.0159,0.1262,0.0157,0.1561,0.015,0.1129,0.0108,0.9306,0.0202,0.1399,0.0029,0.4401,0.0322,35
last_seen_goal_pursuit,physical_removal_shift,4,0.3704,0.0272,0.1708,0.0049,0.1713,0.0052,0.2017,0.0204,0.116,0.0178,0.1293,0.0167,0.1493,0.0091,0.1116,0.0127,0.9297,0.0191,0.1394,0.0029,0.4429,0.0311,35
last_seen_goal_pursuit,physical_removal_shift,5,0.368,0.0334,0.1714,0.0046,0.1704,0.0051,0.1867,0.0242,0.1037,0.0132,0.1327,0.0172,0.1439,0.0128,0.1146,0.0119,0.9299,0.0205,0.1417,0.0029,0.4408,0.038,35
last_seen_goal_pursuit,physical_removal_shift,6,0.3626,0.0309,0.1693,0.0045,0.1694,0.0045,0.2017,0.025,0.1184,0.0205,0.1272,0.0169,0.148,0.0118,0.1054,0.0109,0.9267,0.0197,0.1394,0.0031,0.4486,0.0359,35
memory_only_belief_tracking,combined_disappearance_stress,0,0.3942,0.0284,0.2668,0.0043,0.1971,0.0049,0.2224,0.0231,0.1139,0.0175,0.1344,0.0178,0.1313,0.011,0.1473,0.013,0.9305,0.0208,0.1501,0.0023,0.3912,0.0293,35
memory_only_belief_tracking,combined_disappearance_stress,1,0.3823,0.0329,0.2695,0.0037,0.1927,0.0053,0.2156,0.0246,0.1007,0.0127,0.1408,0.0155,0.1224,0.0109,0.1517,0.0132,0.9305,0.0225,0.1516,0.0034,0.4173,0.0338,35
memory_only_belief_tracking,combined_disappearance_stress,2,0.3694,0.0255,0.2656,0.0041,0.2017,0.0051,0.2177,0.023,0.0905,0.0129,0.1395,0.0206,0.1224,0.0125,0.1347,0.0157,0.9309,0.0213,0.148,0.0022,0.4405,0.0251,35
memory_only_belief_tracking,combined_disappearance_stress,3,0.3656,0.0265,0.2673,0.0049,0.199,0.004,0.2112,0.022,0.1099,0.0149,0.152,0.0185,0.1276,0.0122,0.1449,0.012,0.9326,0.0208,0.149,0.003,0.4395,0.0279,35
memory_only_belief_tracking,combined_disappearance_stress,4,0.4014,0.0326,0.2635,0.0055,0.194,0.005,0.2241,0.0213,0.1061,0.0139,0.1558,0.0203,0.1405,0.0127,0.1415,0.015,0.9312,0.0216,0.1509,0.0033,0.4034,0.0364,35
memory_only_belief_tracking,combined_disappearance_stress,5,0.365,0.0274,0.2635,0.005,0.1992,0.0062,0.2224,0.0251,0.1201,0.0163,0.1418,0.0242,0.1323,0.013,0.1449,0.0167,0.9283,0.0222,0.1474,0.0029,0.4486,0.0254,35
memory_only_belief_tracking,combined_disappearance_stress,6,0.366,0.0315,0.268,0.005,0.2012,0.005,0.2126,0.0222,0.1136,0.0166,0.15,0.0204,0.135,0.0121,0.1388,0.0125,0.9305,0.0209,0.1494,0.0032,0.4384,0.0306,35
memory_only_belief_tracking,delayed_reappearance,0,0.4391,0.0227,0.2926,0.004,0.219,0.0053,0.1966,0.0179,0.1027,0.0114,0.1248,0.0156,0.1262,0.0116,0.182,0.0131,0.9049,0.0172,0.1514,0.0024,0.3711,0.0232,35
memory_only_belief_tracking,delayed_reappearance,1,0.4224,0.024,0.2972,0.0041,0.2215,0.0047,0.2,0.0217,0.0993,0.0143,0.1333,0.0165,0.1269,0.0132,0.1861,0.0134,0.9067,0.0169,0.1498,0.0031,0.3884,0.0281,35
memory_only_belief_tracking,delayed_reappearance,2,0.4133,0.0264,0.2973,0.0052,0.218,0.0043,0.1973,0.0168,0.0946,0.0109,0.1463,0.0203,0.1265,0.0143,0.1966,0.0148,0.9083,0.0193,0.1502,0.0031,0.3925,0.0287,35
memory_only_belief_tracking,delayed_reappearance,3,0.4204,0.0195,0.2959,0.0037,0.2203,0.004,0.2082,0.0173,0.1034,0.0124,0.151,0.0176,0.1286,0.0097,0.1769,0.0123,0.9024,0.0173,0.1521,0.0032,0.3898,0.0243,35
memory_only_belief_tracking,delayed_reappearance,4,0.4143,0.0216,0.2936,0.0058,0.2224,0.0044,0.2048,0.0198,0.0952,0.0133,0.1361,0.0184,0.1248,0.0122,0.1884,0.0163,0.904,0.0188,0.1498,0.0028,0.3986,0.0226,35
memory_only_belief_tracking,delayed_reappearance,5,0.4364,0.0216,0.2979,0.0041,0.2222,0.0039,0.2075,0.0223,0.1007,0.0156,0.1378,0.02,0.1337,0.0138,0.1752,0.0135,0.9061,0.0196,0.1499,0.004,0.3721,0.0239,35
memory_only_belief_tracking,delayed_reappearance,6,0.4241,0.0224,0.2993,0.0043,0.2222,0.0049,0.2078,0.0176,0.0963,0.0111,0.1299,0.0173,0.1228,0.0116,0.1827,0.0159,0.904,0.0193,0.148,0.0033,0.3854,0.0253,35
memory_only_belief_tracking,nominal,0,0.5017,0.0249,0.3495,0.0044,0.2689,0.0053,0.1163,0.0141,0.0759,0.0104,0.0983,0.013,0.2442,0.0199,0.2007,0.0172,0.7324,0.0121,0.1488,0.0022,0.3248,0.0284,35
memory_only_belief_tracking,nominal,1,0.4915,0.0177,0.3502,0.0048,0.2623,0.0041,0.1282,0.0162,0.0741,0.0107,0.0956,0.0131,0.2374,0.0148,0.2,0.0135,0.7321,0.0124,0.1474,0.0026,0.331,0.0195,35
memory_only_belief_tracking,nominal,2,0.4966,0.0213,0.3507,0.0044,0.266,0.0041,0.1272,0.0165,0.081,0.0139,0.1007,0.0151,0.2265,0.0137,0.2044,0.0177,0.7327,0.0132,0.1447,0.0027,0.3415,0.0199,35
memory_only_belief_tracking,nominal,3,0.5112,0.0189,0.3515,0.005,0.2679,0.005,0.1201,0.0165,0.0769,0.0116,0.1007,0.0128,0.2354,0.0147,0.1874,0.0143,0.7284,0.0127,0.1441,0.0037,0.3153,0.0201,35
memory_only_belief_tracking,nominal,4,0.5139,0.0238,0.3523,0.0045,0.2657,0.0048,0.118,0.0113,0.0823,0.0104,0.098,0.0149,0.2483,0.0147,0.1946,0.0197,0.7335,0.0107,0.146,0.0028,0.3173,0.0304,35
memory_only_belief_tracking,nominal,5,0.5044,0.0223,0.3488,0.005,0.2698,0.0054,0.1211,0.0132,0.0755,0.0106,0.0939,0.0123,0.2405,0.0143,0.2214,0.0168,0.728,0.0127,0.1474,0.0024,0.3279,0.0247,35
memory_only_belief_tracking,nominal,6,0.5082,0.0234,0.353,0.0042,0.2692,0.0047,0.1381,0.0162,0.0772,0.0109,0.1014,0.0147,0.2517,0.016,0.1956,0.0141,0.7328,0.0132,0.1462,0.0023,0.3221,0.0265,35
memory_only_belief_tracking,occlusion_heavy_shift,0,0.4633,0.0221,0.2886,0.0051,0.2558,0.0038,0.1476,0.0172,0.0878,0.0098,0.1286,0.0162,0.1752,0.0168,0.1912,0.014,0.8289,0.016,0.1491,0.0033,0.3602,0.0241,35
memory_only_belief_tracking,occlusion_heavy_shift,1,0.4347,0.0233,0.292,0.0045,0.2536,0.0045,0.1452,0.0161,0.101,0.0129,0.1313,0.0186,0.1779,0.0172,0.185,0.0122,0.8202,0.0167,0.1476,0.0031,0.382,0.0247,35
memory_only_belief_tracking,occlusion_heavy_shift,2,0.4439,0.0228,0.2956,0.0049,0.2528,0.0048,0.1616,0.0207,0.1048,0.0119,0.1139,0.0168,0.1799,0.0164,0.1769,0.0136,0.8261,0.019,0.1477,0.0031,0.366,0.0258,35
memory_only_belief_tracking,occlusion_heavy_shift,3,0.4466,0.0257,0.2949,0.0042,0.2546,0.0051,0.1585,0.0196,0.0854,0.0133,0.1221,0.0166,0.185,0.0156,0.1782,0.0136,0.8288,0.0165,0.1484,0.0034,0.3745,0.0285,35
memory_only_belief_tracking,occlusion_heavy_shift,4,0.4578,0.0234,0.2941,0.0068,0.2518,0.0042,0.1588,0.0178,0.1017,0.0129,0.1272,0.0177,0.1847,0.0143,0.2,0.0156,0.8185,0.0184,0.1472,0.0029,0.3578,0.025,35
memory_only_belief_tracking,occlusion_heavy_shift,5,0.4527,0.0253,0.2952,0.0033,0.2496,0.0052,0.1476,0.0171,0.0922,0.0115,0.1163,0.0172,0.1772,0.014,0.1864,0.0184,0.8254,0.0179,0.1488,0.0034,0.3714,0.025,35
memory_only_belief_tracking,occlusion_heavy_shift,6,0.4446,0.0306,0.2955,0.0037,0.2547,0.0049,0.1554,0.0176,0.0884,0.0135,0.135,0.0154,0.1779,0.0136,0.1891,0.0166,0.8245,0.0181,0.1495,0.0023,0.3833,0.0307,35
memory_only_belief_tracking,physical_removal_shift,0,0.4265,0.0276,0.2897,0.0046,0.2326,0.0047,0.1639,0.0194,0.0963,0.0123,0.1228,0.0163,0.217,0.0154,0.1643,0.0122,0.832,0.0221,0.1499,0.0027,0.3762,0.028,35
memory_only_belief_tracking,physical_removal_shift,1,0.431,0.0262,0.296,0.0049,0.2334,0.0056,0.168,0.0188,0.099,0.0137,0.1112,0.0138,0.2116,0.0155,0.1605,0.0128,0.8259,0.0196,0.1483,0.003,0.3888,0.0277,35
memory_only_belief_tracking,physical_removal_shift,2,0.4163,0.0288,0.2925,0.0049,0.2339,0.0044,0.1762,0.0233,0.1075,0.0153,0.1194,0.0166,0.2031,0.0129,0.1548,0.0128,0.8325,0.019,0.1503,0.0027,0.3997,0.0282,35
memory_only_belief_tracking,physical_removal_shift,3,0.4245,0.0276,0.2897,0.0043,0.2335,0.0046,0.1772,0.0178,0.0993,0.0161,0.1156,0.0142,0.1898,0.0144,0.1612,0.0155,0.8328,0.0197,0.1469,0.0025,0.3878,0.0302,35
memory_only_belief_tracking,physical_removal_shift,4,0.4398,0.0245,0.2972,0.0041,0.2333,0.0044,0.1816,0.0212,0.1082,0.015,0.1228,0.0166,0.1956,0.015,0.1585,0.0141,0.8301,0.0205,0.1475,0.0033,0.3735,0.0299,35
memory_only_belief_tracking,physical_removal_shift,5,0.4466,0.0269,0.2927,0.005,0.2351,0.0042,0.1793,0.0202,0.098,0.0132,0.1299,0.0152,0.2116,0.0145,0.1616,0.0144,0.8322,0.0207,0.1477,0.0032,0.3622,0.0303,35
memory_only_belief_tracking,physical_removal_shift,6,0.416,0.0283,0.2926,0.0042,0.2309,0.0054,0.1677,0.0203,0.116,0.0158,0.1211,0.0177,0.2044,0.0179,0.165,0.0144,0.8308,0.021,0.1494,0.0028,0.3952,0.0332,35
oracle_goal_state_supervisor,combined_disappearance_stress,0,0.7854,0.0182,0.7087,0.0047,0.6466,0.0039,0.0371,0.0065,0.0088,0.004,0.0099,0.0042,0.4908,0.0197,0.5752,0.0179,0.566,0.0215,0.2641,0.003,0.0,0.0,35
oracle_goal_state_supervisor,combined_disappearance_stress,1,0.7997,0.0162,0.7096,0.0047,0.6449,0.0046,0.0282,0.006,0.0133,0.0057,0.0122,0.0051,0.4895,0.0215,0.5639,0.0208,0.5684,0.0221,0.2646,0.0026,0.0,0.0,35
oracle_goal_state_supervisor,combined_disappearance_stress,2,0.8099,0.0153,0.7121,0.0047,0.6458,0.0042,0.033,0.0071,0.0139,0.0055,0.0085,0.0044,0.5044,0.0209,0.5585,0.0171,0.5709,0.0206,0.2624,0.0028,0.0,0.0,35
oracle_goal_state_supervisor,combined_disappearance_stress,3,0.8051,0.0135,0.7121,0.0047,0.6404,0.0045,0.0384,0.0065,0.017,0.0061,0.0116,0.0039,0.5007,0.0206,0.5582,0.0196,0.5703,0.0211,0.2655,0.0028,0.0,0.0,35
oracle_goal_state_supervisor,combined_disappearance_stress,4,0.8048,0.0143,0.707,0.0058,0.6455,0.0042,0.034,0.0047,0.016,0.0052,0.0126,0.005,0.4993,0.0201,0.566,0.0211,0.5655,0.0205,0.2669,0.0028,0.0,0.0,35
oracle_goal_state_supervisor,combined_disappearance_stress,5,0.8136,0.0142,0.7087,0.0046,0.6452,0.0035,0.0347,0.0079,0.0116,0.0044,0.0105,0.0044,0.4925,0.0221,0.568,0.0189,0.565,0.0211,0.2645,0.0029,0.0,0.0,35
oracle_goal_state_supervisor,combined_disappearance_stress,6,0.8044,0.0135,0.7096,0.0044,0.6419,0.005,0.0374,0.0083,0.0105,0.0035,0.0095,0.0047,0.4891,0.0195,0.5687,0.0204,0.5699,0.0225,0.2639,0.0024,0.0,0.0,35
oracle_goal_state_supervisor,delayed_reappearance,0,0.8102,0.0127,0.7426,0.0055,0.6656,0.0055,0.0412,0.0071,0.0156,0.0057,0.0099,0.0038,0.4861,0.0208,0.5891,0.0208,0.5367,0.0164,0.2668,0.0027,0.0,0.0,35
oracle_goal_state_supervisor,delayed_reappearance,1,0.8109,0.0155,0.741,0.0035,0.669,0.0045,0.0347,0.0062,0.0119,0.0037,0.0085,0.0035,0.4847,0.0213,0.5959,0.0198,0.5379,0.0178,0.2656,0.0028,0.0,0.0,35
oracle_goal_state_supervisor,delayed_reappearance,2,0.8058,0.0149,0.7424,0.0044,0.6661,0.0052,0.0408,0.0061,0.0109,0.004,0.0102,0.0033,0.4864,0.0188,0.6003,0.0167,0.5386,0.0189,0.2649,0.0034,0.0,0.0,35
oracle_goal_state_supervisor,delayed_reappearance,3,0.8102,0.0138,0.7394,0.0057,0.6671,0.0044,0.0367,0.0075,0.0075,0.0032,0.0088,0.004,0.481,0.0216,0.5925,0.0159,0.5428,0.0173,0.2661,0.003,0.0,0.0,35
oracle_goal_state_supervisor,delayed_reappearance,4,0.8129,0.0129,0.7398,0.0045,0.6661,0.0043,0.0401,0.0066,0.0153,0.0055,0.0105,0.0048,0.4796,0.019,0.6,0.0204,0.5415,0.0172,0.265,0.0025,0.0,0.0,35
oracle_goal_state_supervisor,delayed_reappearance,5,0.8085,0.0164,0.7384,0.0042,0.6609,0.0046,0.0357,0.0072,0.0126,0.0058,0.0112,0.0048,0.5041,0.0174,0.5925,0.0208,0.5369,0.0173,0.2652,0.0029,0.0,0.0,35
oracle_goal_state_supervisor,delayed_reappearance,6,0.8095,0.0127,0.7409,0.0052,0.6677,0.0036,0.0344,0.0069,0.0136,0.0055,0.0075,0.0036,0.4833,0.0196,0.6065,0.0168,0.5478,0.0188,0.2643,0.0023,0.0,0.0,35
oracle_goal_state_supervisor,nominal,0,0.8265,0.0137,0.7965,0.0042,0.7157,0.0042,0.0218,0.0057,0.0088,0.0035,0.0061,0.0032,0.6037,0.0198,0.6218,0.0161,0.3667,0.014,0.2644,0.0029,0.0,0.0,35
oracle_goal_state_supervisor,nominal,1,0.8224,0.0132,0.7967,0.0044,0.7118,0.0041,0.0173,0.0049,0.0082,0.004,0.0051,0.0028,0.6007,0.0211,0.6078,0.0166,0.3673,0.0117,0.263,0.0027,0.0,0.0,35
oracle_goal_state_supervisor,nominal,2,0.8381,0.0109,0.8006,0.0045,0.7143,0.0048,0.0224,0.0052,0.0102,0.0048,0.0068,0.0037,0.5983,0.0191,0.6344,0.0184,0.3683,0.0134,0.2646,0.003,0.0,0.0,35
oracle_goal_state_supervisor,nominal,3,0.8265,0.0142,0.8002,0.0042,0.7151,0.0041,0.0289,0.007,0.0102,0.0037,0.0048,0.0033,0.6031,0.0177,0.6044,0.0193,0.3695,0.0112,0.2665,0.0022,0.0,0.0,35
oracle_goal_state_supervisor,nominal,4,0.8313,0.0161,0.7976,0.0042,0.7176,0.0041,0.0235,0.0057,0.0092,0.0044,0.0031,0.0022,0.5908,0.0168,0.6265,0.0197,0.3624,0.0136,0.2681,0.0026,0.0,0.0,35
oracle_goal_state_supervisor,nominal,5,0.8323,0.013,0.7997,0.0048,0.7129,0.0043,0.0259,0.0054,0.0082,0.0031,0.0061,0.0034,0.5752,0.0153,0.6415,0.0183,0.371,0.0132,0.2665,0.0029,0.0,0.0,35
oracle_goal_state_supervisor,nominal,6,0.8303,0.0126,0.7955,0.0049,0.7102,0.0048,0.0221,0.005,0.0099,0.0041,0.0068,0.0035,0.6058,0.0168,0.6224,0.014,0.3695,0.013,0.2635,0.0028,0.0,0.0,35
oracle_goal_state_supervisor,occlusion_heavy_shift,0,0.8235,0.0152,0.7361,0.005,0.6994,0.0053,0.0316,0.007,0.0112,0.0034,0.0058,0.0028,0.5524,0.0213,0.6204,0.0164,0.4542,0.0182,0.2644,0.0025,0.0,0.0,35
oracle_goal_state_supervisor,occlusion_heavy_shift,1,0.8167,0.0109,0.7391,0.004,0.6964,0.0049,0.0289,0.0078,0.0119,0.0047,0.0088,0.0043,0.5313,0.0201,0.6173,0.0197,0.4553,0.0178,0.261,0.0028,0.0,0.0,35
oracle_goal_state_supervisor,occlusion_heavy_shift,2,0.8099,0.0131,0.7385,0.005,0.6994,0.0047,0.0204,0.0057,0.0163,0.007,0.0105,0.005,0.5371,0.0168,0.5905,0.0154,0.4591,0.0165,0.2649,0.0025,0.0,0.0,35
oracle_goal_state_supervisor,occlusion_heavy_shift,3,0.8211,0.0102,0.7371,0.0054,0.7044,0.0048,0.0286,0.0074,0.0126,0.0054,0.0092,0.004,0.5452,0.0162,0.6068,0.0169,0.4522,0.0191,0.2653,0.003,0.0,0.0,35
oracle_goal_state_supervisor,occlusion_heavy_shift,4,0.8156,0.0156,0.7333,0.0042,0.7007,0.0043,0.0262,0.007,0.0075,0.0038,0.0071,0.0036,0.5262,0.0162,0.615,0.0142,0.4614,0.0166,0.2638,0.0027,0.0,0.0,35
oracle_goal_state_supervisor,occlusion_heavy_shift,5,0.8241,0.0129,0.7376,0.0049,0.6986,0.0053,0.0255,0.007,0.0102,0.0043,0.0102,0.0046,0.5459,0.0175,0.6095,0.02,0.4605,0.017,0.2638,0.0027,0.0,0.0,35
oracle_goal_state_supervisor,occlusion_heavy_shift,6,0.8279,0.0128,0.738,0.0045,0.698,0.0042,0.0303,0.0062,0.0112,0.0045,0.0095,0.0046,0.5456,0.0186,0.6105,0.0186,0.4548,0.0182,0.2653,0.0032,0.0,0.0,35
