method,split,mean_mean_success,ci95_mean_success,mean_mean_goal_validity_f1,ci95_mean_goal_validity_f1,mean_mean_retarget_precision,ci95_mean_retarget_precision,mean_mean_stale_goal_pursuit,ci95_mean_stale_goal_pursuit,mean_mean_unsafe_reach,ci95_mean_unsafe_reach,mean_mean_false_abandonment,ci95_mean_false_abandonment,mean_mean_reappearance_recovery,ci95_mean_reappearance_recovery,mean_mean_substitute_goal_success,ci95_mean_substitute_goal_success,mean_mean_belief_update_latency,ci95_mean_belief_update_latency,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_ece,ci95_mean_ece,mean_mean_regret,ci95_mean_regret,mean_mean_utility,ci95_mean_utility,groups
proposed_disappearing_goal_belief_revision_v4,physical_removal_shift,0.704167,0.014869,0.649728,0.001157,0.55471,0.001236,0.040972,0.00607,0.012847,0.003803,0.025,0.006154,0.487153,0.007663,0.516319,0.016917,0.546015,0.001254,0.249326,0.000491,0.078424,0.000212,0.259485,0.01299,0.582772,0.015404,10
proposed_disappearing_goal_belief_revision_v4,substitute_ambiguity_shift,0.694097,0.013089,0.638569,0.001109,0.52396,0.000999,0.042708,0.00919,0.013889,0.004058,0.039931,0.00585,0.479514,0.026406,0.480208,0.014703,0.571824,0.001264,0.249522,0.000645,0.081412,0.00038,0.266443,0.011584,0.557482,0.018799,10
risk_budgeted_goal_recovery,combined_extreme,0.622222,0.017885,0.501753,0.000831,0.431984,0.001288,0.0875,0.014087,0.029167,0.003395,0.079514,0.005118,0.352083,0.016207,0.397917,0.017193,0.734292,0.001121,0.245284,0.000519,0.089728,0.000516,0.325894,0.015548,0.39671,0.016537,10
risk_budgeted_goal_recovery,delayed_reappearance_shift,0.641667,0.01935,0.560095,0.000601,0.456268,0.000944,0.086111,0.009667,0.022569,0.003693,0.075347,0.011658,0.357292,0.021934,0.458333,0.017006,0.699698,0.001653,0.245664,0.000576,0.076688,0.000369,0.312111,0.016749,0.433041,0.024017,10
risk_budgeted_goal_recovery,goal_change_shift,0.64375,0.017312,0.532283,0.00114,0.450362,0.001039,0.067014,0.007389,0.01875,0.004991,0.062847,0.009963,0.418403,0.017491,0.421528,0.016891,0.64521,0.001266,0.244334,0.000638,0.081296,0.000339,0.311092,0.015067,0.463864,0.023503,10
risk_budgeted_goal_recovery,human_obstruction_shift,0.615972,0.022485,0.551788,0.000904,0.461717,0.001309,0.078819,0.011877,0.023958,0.005411,0.077083,0.007159,0.389583,0.022521,0.457639,0.015743,0.681968,0.001429,0.24538,0.000441,0.080583,0.000386,0.334787,0.019783,0.412989,0.025172,10
risk_budgeted_goal_recovery,nominal,0.682986,0.014421,0.616592,0.000741,0.503194,0.001156,0.033681,0.005561,0.012153,0.003962,0.047569,0.00968,0.455208,0.015199,0.498958,0.011162,0.531298,0.00168,0.243268,0.000401,0.057663,0.00042,0.281481,0.012913,0.558718,0.014906,10
risk_budgeted_goal_recovery,occlusion_heavy_shift,0.670486,0.02527,0.562069,0.001066,0.489307,0.001477,0.052431,0.00887,0.020833,0.004422,0.062153,0.006687,0.392361,0.016577,0.470833,0.019572,0.618903,0.001202,0.244117,0.000467,0.074378,0.000376,0.289254,0.022189,0.501811,0.024088,10
risk_budgeted_goal_recovery,physical_removal_shift,0.651389,0.015559,0.546166,0.001143,0.470237,0.001035,0.071181,0.013353,0.023264,0.004764,0.055903,0.013778,0.434722,0.016848,0.450347,0.016947,0.629888,0.001525,0.243974,0.000762,0.07767,0.000278,0.305613,0.013631,0.472128,0.016222,10
risk_budgeted_goal_recovery,substitute_ambiguity_shift,0.628819,0.017468,0.534272,0.000985,0.441318,0.00098,0.072569,0.009433,0.017708,0.004699,0.063542,0.009133,0.419444,0.020107,0.410764,0.026261,0.65588,0.001206,0.244445,0.000963,0.081248,0.000488,0.323247,0.015142,0.443773,0.019771,10
risk_calibrated_goal_belief_revision_v5,combined_extreme,0.760764,0.015567,0.692582,0.001066,0.584449,0.001104,0.019792,0.003936,0.001042,0.00104,0.012153,0.003403,0.510069,0.012649,0.568056,0.016799,0.582027,0.001568,0.272335,0.000456,0.042098,0.000485,0.206355,0.013625,0.677038,0.016406,10
risk_calibrated_goal_belief_revision_v5,delayed_reappearance_shift,0.76875,0.023228,0.752061,0.000934,0.609027,0.001103,0.0125,0.003823,0.000694,0.000907,0.012847,0.004189,0.508333,0.016111,0.584028,0.0173,0.54653,0.001235,0.272757,0.000615,0.029059,0.000321,0.201377,0.020192,0.695288,0.021203,10
risk_calibrated_goal_belief_revision_v5,goal_change_shift,0.773264,0.015118,0.722034,0.000984,0.602977,0.001193,0.010069,0.002949,0.000694,0.000907,0.005903,0.002495,0.548611,0.011433,0.564931,0.009301,0.491878,0.001269,0.27221,0.000367,0.033788,0.000385,0.198152,0.013252,0.709077,0.015298,10
risk_calibrated_goal_belief_revision_v5,human_obstruction_shift,0.76875,0.011883,0.743786,0.000699,0.614511,0.000863,0.012847,0.003803,0.001042,0.001453,0.010417,0.003514,0.517708,0.026984,0.600694,0.019276,0.52942,0.001184,0.27275,0.000656,0.032868,0.000212,0.20163,0.010375,0.697461,0.010759,10
risk_calibrated_goal_belief_revision_v5,nominal,0.794792,0.018719,0.806413,0.001034,0.656301,0.000916,0.002083,0.001505,0.0,0.0,0.0,0.0,0.601736,0.014421,0.612847,0.012722,0.378866,0.001162,0.271964,0.000492,0.010389,0.000509,0.182159,0.016626,0.755014,0.018312,10
risk_calibrated_goal_belief_revision_v5,occlusion_heavy_shift,0.790625,0.014703,0.753194,0.001053,0.641336,0.001276,0.004167,0.001978,0.001389,0.001505,0.006944,0.002684,0.53125,0.017097,0.608681,0.021258,0.465699,0.001619,0.27239,0.000629,0.02659,0.000474,0.18382,0.012852,0.732831,0.013671,10
risk_calibrated_goal_belief_revision_v5,physical_removal_shift,0.789236,0.012302,0.736321,0.000934,0.622655,0.000897,0.008333,0.004445,0.001389,0.001111,0.003472,0.002029,0.562847,0.015699,0.569097,0.015267,0.478343,0.00084,0.272596,0.000506,0.029758,0.00054,0.184865,0.010728,0.729514,0.012936,10
risk_calibrated_goal_belief_revision_v5,substitute_ambiguity_shift,0.786458,0.016523,0.726039,0.001246,0.593045,0.0011,0.010764,0.002949,0.000347,0.000681,0.00625,0.002646,0.541319,0.018246,0.571528,0.018154,0.502402,0.001605,0.272307,0.000817,0.033817,0.000361,0.186031,0.014374,0.721296,0.015998,10
robust_mpc_replan,combined_extreme,0.570139,0.017507,0.4188,0.000902,0.400901,0.000488,0.113889,0.013375,0.045139,0.00497,0.097917,0.009232,0.315625,0.016341,0.384028,0.015459,0.799263,0.001445,0.238014,0.00075,0.122801,0.000446,0.370881,0.015304,0.289946,0.023344,10
robust_mpc_replan,delayed_reappearance_shift,0.613542,0.013346,0.478022,0.00105,0.42625,0.001288,0.103472,0.011735,0.029514,0.00383,0.105208,0.011116,0.31875,0.012744,0.438889,0.023404,0.765577,0.001532,0.237832,0.000586,0.109786,0.000419,0.336734,0.011651,0.35753,0.018776,10
robust_mpc_replan,goal_change_shift,0.597569,0.024421,0.448129,0.001017,0.421868,0.000578,0.097569,0.008635,0.035764,0.007595,0.087153,0.007206,0.371181,0.017933,0.403125,0.014074,0.710421,0.001274,0.236387,0.000476,0.114372,0.000213,0.35134,0.021338,0.355601,0.02477,10
robust_mpc_replan,human_obstruction_shift,0.602083,0.014247,0.46879,0.000822,0.432888,0.001016,0.093403,0.008081,0.040278,0.007605,0.099653,0.013423,0.312153,0.011498,0.424653,0.017921,0.747941,0.001312,0.237504,0.00051,0.113768,0.00055,0.346959,0.01219,0.346806,0.014279,10
robust_mpc_replan,nominal,0.645486,0.025694,0.533284,0.000941,0.474391,0.000709,0.053125,0.00431,0.020486,0.004238,0.072917,0.005272,0.427778,0.014087,0.457292,0.021209,0.597252,0.001232,0.235675,0.000453,0.090527,0.000336,0.314817,0.022965,0.473054,0.022913,10
robust_mpc_replan,occlusion_heavy_shift,0.630208,0.016647,0.478885,0.001221,0.459596,0.001111,0.073611,0.008833,0.030903,0.005315,0.088194,0.011576,0.363889,0.016695,0.435417,0.009847,0.684929,0.001321,0.23727,0.000355,0.107155,0.000235,0.324598,0.014577,0.412306,0.017877,10
robust_mpc_replan,physical_removal_shift,0.595486,0.022894,0.461947,0.000943,0.441121,0.000927,0.089931,0.004588,0.030208,0.006656,0.078819,0.007595,0.374653,0.00986,0.405556,0.013297,0.695086,0.00139,0.236416,0.000573,0.111161,0.000463,0.354585,0.020159,0.369214,0.020399,10
robust_mpc_replan,substitute_ambiguity_shift,0.592708,0.024434,0.452,0.000878,0.410845,0.000469,0.078125,0.009744,0.045139,0.008786,0.088194,0.011397,0.369792,0.020698,0.372569,0.019726,0.721268,0.001523,0.237185,0.000682,0.114242,0.000311,0.354757,0.021488,0.352094,0.030878,10
uncertainty_halt,combined_extreme,0.420139,0.019195,0.319077,0.001288,0.23462,0.001254,0.168403,0.016398,0.061806,0.008596,0.149653,0.011134,0.186458,0.014946,0.207639,0.020209,0.88082,0.000932,0.212955,0.00043,0.160755,0.000422,0.500544,0.016817,0.047042,0.022688,10
uncertainty_halt,delayed_reappearance_shift,0.460764,0.016106,0.378446,0.000901,0.257761,0.001209,0.146181,0.011498,0.049653,0.007991,0.161458,0.013993,0.187847,0.009541,0.244444,0.012475,0.846862,0.001624,0.212574,0.000442,0.148047,0.000425,0.469419,0.014228,0.107204,0.019002,10
uncertainty_halt,goal_change_shift,0.466667,0.016047,0.35021,0.000994,0.254471,0.000886,0.146528,0.015479,0.053819,0.006436,0.1125,0.014065,0.251736,0.019389,0.206944,0.017103,0.791308,0.001275,0.210548,0.000608,0.152097,0.000611,0.465812,0.01396,0.145228,0.026094,10
uncertainty_halt,human_obstruction_shift,0.457639,0.012166,0.369607,0.001111,0.265076,0.001121,0.142014,0.013438,0.056597,0.008245,0.131944,0.008242,0.209028,0.012784,0.240972,0.015326,0.827996,0.000963,0.21124,0.000385,0.151745,0.00034,0.472823,0.010721,0.119932,0.011692,10
uncertainty_halt,nominal,0.54375,0.022667,0.434404,0.001273,0.306913,0.001283,0.099653,0.014527,0.045486,0.006988,0.083681,0.008332,0.303472,0.010889,0.256944,0.015815,0.678586,0.001637,0.208142,0.000438,0.128631,0.000283,0.404899,0.019944,0.288713,0.023544,10
uncertainty_halt,occlusion_heavy_shift,0.504167,0.024888,0.37975,0.000884,0.293376,0.001196,0.120139,0.011215,0.047569,0.003372,0.119097,0.014385,0.234028,0.014778,0.256597,0.016341,0.76529,0.000852,0.210416,0.000565,0.145168,0.000313,0.435346,0.021955,0.20304,0.024419,10
uncertainty_halt,physical_removal_shift,0.48125,0.01686,0.364565,0.000771,0.273512,0.000962,0.131597,0.01071,0.055903,0.007206,0.109375,0.007403,0.273264,0.012134,0.222569,0.01656,0.775934,0.001665,0.209993,0.000524,0.148981,0.000467,0.455011,0.014975,0.169433,0.01978,10
uncertainty_halt,substitute_ambiguity_shift,0.475694,0.021783,0.353274,0.00093,0.244708,0.0008,0.136458,0.012875,0.065278,0.005898,0.121528,0.009888,0.232292,0.015199,0.205556,0.008774,0.801949,0.001399,0.210531,0.000672,0.152751,0.000506,0.456645,0.01879,0.140558,0.024019,10
